,sc_row,sp_char_coord,cnt,gear_ratio,adj
0,1,12,2,238320,[360 662]
2,1,47,2,544985,[677 805]
3,1,61,2,672360,[780 862]
9,2,38,2,324045,[379 855]
10,2,72,2,222870,[969 230]
11,2,98,2,935984,[976 959]
12,2,131,2,53268,[579  92]
14,3,31,2,320048,[482 664]
15,3,43,2,433452,[492 881]
16,3,53,2,607100,[650 934]
18,3,84,2,848,[106   8]
19,3,93,2,251790,[385 654]
20,3,119,2,16653,[793  21]
25,5,6,2,6226,[ 11 566]
27,5,35,2,61464,[156 394]
28,5,48,2,222099,[733 303]
29,5,81,2,361032,[921 392]
32,6,106,2,620066,[778 797]
35,7,25,2,614220,[706 870]
39,8,18,2,16422,[ 69 238]
41,8,52,2,159424,[848 188]
43,8,80,2,386784,[948 408]
44,8,96,2,630287,[931 677]
47,9,35,2,146163,[587 249]
48,9,42,2,47212,[ 74 638]
50,9,61,2,22892,[194 118]
53,9,136,2,129750,[375 346]
58,11,6,2,746940,[844 885]
59,11,125,2,438450,[474 925]
60,12,11,2,528640,[640 826]
61,12,15,2,156370,[823 190]
66,12,103,2,5412,[ 33 164]
69,13,40,2,69225,[325 213]
70,13,49,2,303030,[390 777]
73,13,117,2,632732,[634 998]
76,14,21,2,481371,[503 957]
77,14,79,2,176880,[670 264]
80,15,25,2,279684,[612 457]
81,15,39,2,624664,[691 904]
83,15,63,2,517266,[837 618]
84,15,71,2,129585,[489 265]
86,15,110,2,419958,[462 909]
87,15,130,2,16324,[106 154]
90,16,67,2,24772,[ 44 563]
91,16,106,2,351712,[464 758]
92,17,6,2,360403,[383 941]
98,18,33,2,105676,[116 911]
100,18,100,2,494955,[765 647]
101,18,133,2,1808,[  8 226]
104,19,79,2,38220,[273 140]
105,19,110,2,544003,[661 823]
106,19,121,2,239258,[527 454]
107,20,17,2,80344,[ 83 968]
111,20,83,2,258318,[339 762]
112,20,126,2,330140,[340 971]
113,21,4,2,231344,[761 304]
115,21,33,2,315150,[550 573]
116,21,40,2,129944,[148 878]
117,21,91,2,14300,[ 25 572]
119,21,135,2,161616,[624 259]
120,22,113,2,42895,[115 373]
121,22,119,2,126732,[537 236]
123,23,15,2,650998,[697 934]
124,23,26,2,9858,[159  62]
127,23,102,2,708876,[873 812]
129,24,19,2,146982,[374 393]
131,24,85,2,41420,[109 380]
133,24,108,2,344624,[952 362]
136,25,79,2,31734,[774  41]
137,25,123,2,246848,[304 812]
138,25,128,2,9750,[750  13]
143,27,21,2,700146,[802 873]
144,27,46,2,343066,[509 674]
145,27,52,2,320160,[928 345]
146,27,80,2,81249,[219 371]
147,27,104,2,494,[13 38]
148,27,136,2,103675,[145 715]
152,28,123,2,248,[62  4]
153,29,4,2,540432,[972 556]
155,29,33,2,63940,[278 230]
157,29,67,2,389640,[680 573]
158,29,84,2,365175,[541 675]
162,29,127,2,242060,[247 980]
163,30,41,2,55874,[ 91 614]
167,31,27,2,48149,[ 89 541]
168,31,32,2,695800,[980 710]
169,31,48,2,194485,[401 485]
173,32,7,2,265200,[390 680]
174,32,42,2,370230,[861 430]
175,32,55,2,326040,[660 494]
179,32,105,2,658350,[798 825]
180,33,15,2,241889,[551 439]
186,34,63,2,300487,[463 649]
187,35,19,2,63444,[622 102]
188,35,36,2,179612,[541 332]
189,35,72,2,151340,[805 188]
191,35,83,2,947360,[955 992]
192,35,89,2,742690,[985 754]
193,35,94,2,34916,[172 203]
195,35,106,2,154070,[497 310]
196,35,117,2,167090,[341 490]
198,36,43,2,191102,[893 214]
199,36,48,2,20100,[150 134]
201,36,132,2,166252,[178 934]
202,37,4,2,519370,[622 835]
203,37,54,2,356454,[414 861]
204,37,60,2,270504,[612 442]
205,37,65,2,592572,[678 874]
206,38,10,2,100122,[407 246]
208,38,29,2,13440,[ 42 320]
211,39,42,2,108279,[159 681]
212,39,86,2,174384,[519 336]
213,39,111,2,696410,[974 715]
217,41,10,2,144083,[149 967]
218,41,16,2,86040,[717 120]
219,41,55,2,38940,[295 132]
221,41,96,2,345710,[905 382]
222,42,35,2,436590,[810 539]
228,43,22,2,193200,[483 400]
229,43,47,2,352260,[570 618]
231,43,81,2,578496,[736 786]
233,43,111,2,159859,[557 287]
237,44,98,2,45024,[268 168]
238,45,31,2,81000,[750 108]
239,45,70,2,909716,[974 934]
249,47,70,2,349460,[692 505]
250,47,77,2,182226,[753 242]
255,48,34,2,451766,[854 529]
256,48,38,2,67551,[253 267]
257,49,6,2,51512,[376 137]
261,49,130,2,178585,[187 955]
262,50,11,2,223428,[866 258]
263,50,41,2,6555,[437  15]
266,50,71,2,355718,[703 506]
271,51,122,2,3100,[310  10]
274,52,57,2,186880,[256 730]
276,52,126,2,8946,[ 71 126]
280,53,17,2,117390,[910 129]
283,53,108,2,160062,[309 518]
286,54,33,2,211185,[247 855]
291,55,5,2,17388,[322  54]
296,55,97,2,210424,[232 907]
298,56,68,2,14245,[ 35 407]
299,56,123,2,317772,[546 582]
300,56,134,2,33153,[257 129]
301,57,14,2,189175,[805 235]
305,57,88,2,18590,[338  55]
306,57,103,2,730158,[897 814]
308,58,7,2,658983,[793 831]
313,59,20,2,128037,[147 871]
314,59,26,2,227124,[324 701]
316,59,75,2,100820,[142 710]
318,59,122,2,246180,[746 330]
320,59,131,2,1116,[  2 558]
329,61,68,2,109482,[257 426]
330,61,103,2,75072,[408 184]
331,62,23,2,112860,[396 285]
334,62,132,2,7992,[ 24 333]
335,63,30,2,273452,[548 499]
338,63,73,2,185820,[489 380]
339,63,81,2,352715,[605 583]
341,64,93,2,645588,[908 711]
343,64,124,2,76857,[137 561]
344,64,135,2,153725,[275 559]
346,65,22,2,518976,[901 576]
348,65,65,2,569734,[638 893]
349,65,88,2,609268,[671 908]
357,67,114,2,538902,[882 611]
361,68,22,2,224542,[311 722]
364,68,68,2,431760,[840 514]
367,69,50,2,25389,[651  39]
370,69,84,2,9010,[ 34 265]
371,69,92,2,252843,[933 271]
372,70,4,2,206283,[627 329]
373,70,17,2,18888,[ 24 787]
374,70,35,2,255744,[256 999]
375,70,59,2,20355,[177 115]
377,70,98,2,351405,[685 513]
378,70,105,2,658165,[947 695]
379,71,12,2,114552,[172 666]
381,71,72,2,156751,[343 457]
382,71,129,2,142584,[914 156]
383,72,25,2,48085,[163 295]
386,73,38,2,15124,[199  76]
388,73,92,2,422712,[824 513]
396,75,34,2,74008,[ 88 841]
398,75,58,2,283081,[893 317]
401,76,45,2,71004,[582 122]
402,76,66,2,97842,[709 138]
404,77,10,2,195364,[884 221]
406,77,28,2,255866,[338 757]
408,77,91,2,193843,[481 403]
410,77,121,2,291505,[337 865]
411,77,129,2,140904,[152 927]
413,78,34,2,10850,[ 70 155]
414,78,45,2,500598,[822 609]
418,79,7,2,98200,[491 200]
421,79,95,2,545952,[564 968]
422,79,100,2,40000,[625  64]
423,80,18,2,184324,[908 203]
426,80,111,2,615450,[746 825]
428,80,128,2,226347,[361 627]
431,81,50,2,71910,[255 282]
434,81,82,2,34404,[122 282]
436,82,68,2,19656,[ 91 216]
437,82,104,2,597873,[969 617]
440,83,26,2,9855,[ 15 657]
441,83,40,2,682968,[796 858]
444,83,133,2,64944,[984  66]
446,85,9,2,15808,[152 104]
449,85,86,2,9805,[ 37 265]
